id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
39,Adelie,Dream,39.8,19.1,184,4650,MALE
40,Adelie,Dream,36.5,18,182,3150,FEMALE
41,Adelie,Dream,40.8,18.4,195,3900,MALE
42,Adelie,Dream,36,18.5,186,3100,FEMALE
43,Adelie,Dream,44.1,19.7,196,4400,MALE
44,Adelie,Dream,37,16.9,185,3000,FEMALE
45,Adelie,Dream,39.6,18.8,190,4600,MALE
46,Adelie,Dream,41.1,19,182,3425,MALE
47,Adelie,Dream,37.5,18.9,179,2975,
48,Adelie,Dream,36,17.9,190,3450,FEMALE
49,Adelie,Dream,42.3,21.2,191,4150,MALE
50,Adelie,Biscoe,39.6,17.7,186,3500,FEMALE
51,Adelie,Biscoe,40.1,18.9,188,4300,MALE
52,Adelie,Biscoe,35,17.9,190,3450,FEMALE
53,Adelie,Biscoe,42,19.5,200,4050,MALE
54,Adelie,Biscoe,34.5,18.1,187,2900,FEMALE
55,Adelie,Biscoe,41.4,18.6,191,3700,MALE
56,Adelie,Biscoe,39,17.5,186,3550,FEMALE
57,Adelie,Biscoe,40.6,18.8,193,3800,MALE
58,Adelie,Biscoe,36.5,16.6,181,2850,FEMALE
59,Adelie,Biscoe,37.6,19.1,194,3750,MALE
60,Adelie,Biscoe,35.7,16.9,185,3150,FEMALE
61,Adelie,Biscoe,41.3,21.1,195,4400,MALE
62,Adelie,Biscoe,37.6,17,185,3600,FEMALE
63,Adelie,Biscoe,41.1,18.2,192,4050,MALE
64,Adelie,Biscoe,36.4,17.1,184,2850,FEMALE
65,Adelie,Biscoe,41.6,18,192,3950,MALE
66,Adelie,Biscoe,35.5,16.2,195,3350,FEMALE
67,Adelie,Biscoe,41.1,19.1,188,4100,MALE
68,Adelie,Torgersen,35.9,16.6,190,3050,FEMALE
69,Adelie,Torgersen,41.8,19.4,198,4450,MALE
70,Adelie,Torgersen,33.5,19,190,3600,FEMALE
71,Adelie,Torgersen,39.7,18.4,190,3900,MALE
72,Adelie,Torgersen,39.6,17.2,196,3550,FEMALE
73,Adelie,Torgersen,45.8,18.9,197,4150,MALE
74,Adelie,Torgersen,35.5,17.5,190,3700,FEMALE
75,Adelie,Torgersen,42.8,18.5,195,4250,MALE
76,Adelie,Torgersen,40.9,16.8,191,3700,FEMALE
77,Adelie,Torgersen,37.2,19.4,184,3900,MALE
78,Adelie,Torgersen,36.2,16.1,187,3550,FEMALE
79,Adelie,Torgersen,42.1,19.1,195,4000,MALE
80,Adelie,Torgersen,34.6,17.2,189,3200,FEMALE
81,Adelie,Torgersen,42.9,17.6,196,4700,MALE
82,Adelie,Torgersen,36.7,18.8,187,3800,FEMALE
83,Adelie,Torgersen,35.1,19.4,193,4200,MALE
84,Adelie,Dream,37.3,17.8,191,3350,FEMALE
85,Adelie,Dream,41.3,20.3,194,3550,MALE
86,Adelie,Dream,36.3,19.5,190,3800,MALE
87,Adelie,Dream,36.9,18.6,189,3500,FEMALE
88,Adelie,Dream,38.3,19.2,189,3950,MALE
89,Adelie,Dream,38.9,18.8,190,3600,FEMALE
90,Adelie,Dream,35.7,18,202,3550,FEMALE
91,Adelie,Dream,41.1,18.1,205,4300,MALE
92,Adelie,Dream,34,17.1,185,3400,FEMALE
93,Adelie,Dream,39.6,18.1,186,4450,MALE
94,Adelie,Dream,36.2,17.3,187,3300,FEMALE
95,Adelie,Dream,40.8,18.9,208,4300,MALE
96,Adelie,Dream,38.1,18.6,190,3700,FEMALE
97,Adelie,Dream,40.3,18.5,196,4350,MALE
98,Adelie,Dream,33.1,16.1,178,2900,FEMALE
99,Adelie,Dream,43.2,18.5,192,4100,MALE
100,Adelie,Biscoe,35,17.9,192,3725,FEMALE
101,Adelie,Biscoe,41,20,203,4725,MALE
102,Adelie,Biscoe,37.7,16,183,3075,FEMALE
103,Adelie,Biscoe,37.8,20,190,4250,MALE
104,Adelie,Biscoe,37.9,18.6,193,2925,FEMALE
105,Adelie,Biscoe,39.7,18.9,184,3550,MALE
106,Adelie,Biscoe,38.6,17.2,199,3750,FEMALE
107,Adelie,Biscoe,38.2,20,190,3900,MALE
108,Adelie,Biscoe,38.1,17,181,3175,FEMALE
109,Adelie,Biscoe,43.2,19,197,4775,MALE
110,Adelie,Biscoe,38.1,16.5,198,3825,FEMALE
111,Adelie,Biscoe,45.6,20.3,191,4600,MALE
112,Adelie,Biscoe,39.7,17.7,193,3200,FEMALE
113,Adelie,Biscoe,42.2,19.5,197,4275,MALE
114,Adelie,Biscoe,39.6,20.7,191,3900,FEMALE
115,Adelie,Biscoe,42.7,18.3,196,4075,MALE
116,Adelie,Torgersen,38.6,17,188,2900,FEMALE
117,Adelie,Torgersen,37.3,20.5,199,3775,MALE
118,Adelie,Torgersen,35.7,17,189,3350,FEMALE
119,Adelie,Torgersen,41.1,18.6,189,3325,MALE
120,Adelie,Torgersen,36.2,17.2,187,3150,FEMALE
121,Adelie,Torgersen,37.7,19.8,198,3500,MALE
122,Adelie,Torgersen,40.2,17,176,3450,FEMALE
123,Adelie,Torgersen,41.4,18.5,202,3875,MALE
124,Adelie,Torgersen,35.2,15.9,186,3050,FEMALE
125,Adelie,Torgersen,40.6,19,199,4000,MALE
126,Adelie,Torgersen,38.8,17.6,191,3275,FEMALE
127,Adelie,Torgersen,41.5,18.3,195,4300,MALE
128,Adelie,Torgersen,39,17.1,191,3050,FEMALE
129,Adelie,Torgersen,44.1,18,210,4000,MALE
130,Adelie,Torgersen,38.5,17.9,190,3325,FEMALE
131,Adelie,Torgersen,43.1,19.2,197,3500,MALE
132,Adelie,Dream,36.8,18.5,193,3500,FEMALE
133,Adelie,Dream,37.5,18.5,199,4475,MALE
134,Adelie,Dream,38.1,17.6,187,3425,FEMALE
135,Adelie,Dream,41.1,17.5,190,3900,MALE
136,Adelie,Dream,35.6,17.5,191,3175,FEMALE
137,Adelie,Dream,40.2,20.1,200,3975,MALE
138,Adelie,Dream,37,16.5,185,3400,FEMALE
139,Adelie,Dream,39.7,17.9,193,4250,MALE
140,Adelie,Dream,40.2,17.1,193,3400,FEMALE
141,Adelie,Dream,40.6,17.2,187,3475,MALE
142,Adelie,Dream,32.1,15.5,188,3050,FEMALE
143,Adelie,Dream,40.7,17,190,3725,MALE
144,Adelie,Dream,37.3,16.8,192,3000,FEMALE
145,Adelie,Dream,39,18.7,185,3650,MALE
146,Adelie,Dream,39.2,18.6,190,4250,MALE
147,Adelie,Dream,36.6,18.4,184,3475,FEMALE
148,Adelie,Dream,36,17.8,195,3450,FEMALE
149,Adelie,Dream,37.8,18.1,193,3750,MALE
150,Adelie,Dream,36,17.1,187,3700,FEMALE
151,Adelie,Dream,41.5,18.5,201,4000,MALE
152,Chinstrap,Dream,46.5,17.9,192,3500,FEMALE
153,Chinstrap,Dream,50,19.5,196,3900,MALE
154,Chinstrap,Dream,51.3,19.2,193,3650,MALE
155,Chinstrap,Dream,45.4,18.7,188,3525,FEMALE
156,Chinstrap,Dream,52.7,19.8,197,3725,MALE
157,Chinstrap,Dream,45.2,17.8,198,3950,FEMALE
158,Chinstrap,Dream,46.1,18.2,178,3250,FEMALE
159,Chinstrap,Dream,51.3,18.2,197,3750,MALE
160,Chinstrap,Dream,46,18.9,195,4150,FEMALE
161,Chinstrap,Dream,51.3,19.9,198,3700,MALE
162,Chinstrap,Dream,46.6,17.8,193,3800,FEMALE
163,Chinstrap,Dream,51.7,20.3,194,3775,MALE
164,Chinstrap,Dream,47,17.3,185,3700,FEMALE
165,Chinstrap,Dream,52,18.1,201,4050,MALE
166,Chinstrap,Dream,45.9,17.1,190,3575,FEMALE
167,Chinstrap,Dream,50.5,19.6,201,4050,MALE
168,Chinstrap,Dream,50.3,20,197,3300,MALE
169,Chinstrap,Dream,58,17.8,181,3700,FEMALE
170,Chinstrap,Dream,46.4,18.6,190,3450,FEMALE
171,Chinstrap,Dream,49.2,18.2,195,4400,MALE
172,Chinstrap,Dream,42.4,17.3,181,3600,FEMALE
173,Chinstrap,Dream,48.5,17.5,191,3400,MALE
174,Chinstrap,Dream,43.2,16.6,187,2900,FEMALE
175,Chinstrap,Dream,50.6,19.4,193,3800,MALE
176,Chinstrap,Dream,46.7,17.9,195,3300,FEMALE
177,Chinstrap,Dream,52,19,197,4150,MALE
178,Chinstrap,Dream,50.5,18.4,200,3400,FEMALE
179,Chinstrap,Dream,49.5,19,200,3800,MALE
180,Chinstrap,Dream,46.4,17.8,191,3700,FEMALE
181,Chinstrap,Dream,52.8,20,205,4550,MALE
182,Chinstrap,Dream,40.9,16.6,187,3200,FEMALE
183,Chinstrap,Dream,54.2,20.8,201,4300,MALE
184,Chinstrap,Dream,42.5,16.7,187,3350,FEMALE
185,Chinstrap,Dream,51,18.8,203,4100,MALE
186,Chinstrap,Dream,49.7,18.6,195,3600,MALE
187,Chinstrap,Dream,47.5,16.8,199,3900,FEMALE
188,Chinstrap,Dream,47.6,18.3,195,3850,FEMALE
189,Chinstrap,Dream,52,20.7,210,4800,MALE
190,Chinstrap,Dream,46.9,16.6,192,2700,FEMALE
191,Chinstrap,Dream,53.5,19.9,205,4500,MALE
192,Chinstrap,Dream,49,19.5,210,3950,MALE
193,Chinstrap,Dream,46.2,17.5,187,3650,FEMALE
194,Chinstrap,Dream,50.9,19.1,196,3550,MALE
195,Chinstrap,Dream,45.5,17,196,3500,FEMALE
196,Chinstrap,Dream,50.9,17.9,196,3675,FEMALE
197,Chinstrap,Dream,50.8,18.5,201,4450,MALE
198,Chinstrap,Dream,50.1,17.9,190,3400,FEMALE
199,Chinstrap,Dream,49,19.6,212,4300,MALE
200,Chinstrap,Dream,51.5,18.7,187,3250,MALE
201,Chinstrap,Dream,49.8,17.3,198,3675,FEMALE
202,Chinstrap,Dream,48.1,16.4,199,3325,FEMALE
203,Chinstrap,Dream,51.4,19,201,3950,MALE
204,Chinstrap,Dream,45.7,17.3,193,3600,FEMALE
205,Chinstrap,Dream,50.7,19.7,203,4050,MALE
206,Chinstrap,Dream,42.5,17.3,187,3350,FEMALE
207,Chinstrap,Dream,52.2,18.8,197,3450,MALE
208,Chinstrap,Dream,45.2,16.6,191,3250,FEMALE
209,Chinstrap,Dream,49.3,19.9,203,4050,MALE
210,Chinstrap,Dream,50.2,18.8,202,3800,MALE
211,Chinstrap,Dream,45.6,19.4,194,3525,FEMALE
212,Chinstrap,Dream,51.9,19.5,206,3950,MALE
213,Chinstrap,Dream,46.8,16.5,189,3650,FEMALE
214,Chinstrap,Dream,45.7,17,195,3650,FEMALE
215,Chinstrap,Dream,55.8,19.8,207,4000,MALE
216,Chinstrap,Dream,43.5,18.1,202,3400,FEMALE
217,Chinstrap,Dream,49.6,18.2,193,3775,MALE
218,Chinstrap,Dream,50.8,19,210,4100,MALE
219,Chinstrap,Dream,50.2,18.7,198,3775,FEMALE
220,Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE
221,Gentoo,Biscoe,50,16.3,230,5700,MALE
222,Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE
223,Gentoo,Biscoe,50,15.2,218,5700,MALE
224,Gentoo,Biscoe,47.6,14.5,215,5400,MALE
225,Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE
226,Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE
227,Gentoo,Biscoe,46.7,15.3,219,5200,MALE
228,Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE
229,Gentoo,Biscoe,46.8,15.4,215,5150,MALE
230,Gentoo,Biscoe,40.9,13.7,214,4650,FEMALE
231,Gentoo,Biscoe,49,16.1,216,5550,MALE
232,Gentoo,Biscoe,45.5,13.7,214,4650,FEMALE
233,Gentoo,Biscoe,48.4,14.6,213,5850,MALE
234,Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE
235,Gentoo,Biscoe,49.3,15.7,217,5850,MALE
236,Gentoo,Biscoe,42,13.5,210,4150,FEMALE
237,Gentoo,Biscoe,49.2,15.2,221,6300,MALE
238,Gentoo,Biscoe,46.2,14.5,209,4800,FEMALE
239,Gentoo,Biscoe,48.7,15.1,222,5350,MALE
240,Gentoo,Biscoe,50.2,14.3,218,5700,MALE
241,Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE
242,Gentoo,Biscoe,46.5,14.5,213,4400,FEMALE
243,Gentoo,Biscoe,46.3,15.8,215,5050,MALE
244,Gentoo,Biscoe,42.9,13.1,215,5000,FEMALE
245,Gentoo,Biscoe,46.1,15.1,215,5100,MALE
246,Gentoo,Biscoe,44.5,14.3,216,4100,
247,Gentoo,Biscoe,47.8,15,215,5650,MALE
248,Gentoo,Biscoe,48.2,14.3,210,4600,FEMALE
249,Gentoo,Biscoe,50,15.3,220,5550,MALE
250,Gentoo,Biscoe,47.3,15.3,222,5250,MALE
251,Gentoo,Biscoe,42.8,14.2,209,4700,FEMALE
252,Gentoo,Biscoe,45.1,14.5,207,5050,FEMALE
253,Gentoo,Biscoe,59.6,17,230,6050,MALE
254,Gentoo,Biscoe,49.1,14.8,220,5150,FEMALE
255,Gentoo,Biscoe,48.4,16.3,220,5400,MALE
256,Gentoo,Biscoe,42.6,13.7,213,4950,FEMALE
257,Gentoo,Biscoe,44.4,17.3,219,5250,MALE
258,Gentoo,Biscoe,44,13.6,208,4350,FEMALE
259,Gentoo,Biscoe,48.7,15.7,208,5350,MALE
260,Gentoo,Biscoe,42.7,13.7,208,3950,FEMALE
261,Gentoo,Biscoe,49.6,16,225,5700,MALE
262,Gentoo,Biscoe,45.3,13.7,210,4300,FEMALE
263,Gentoo,Biscoe,49.6,15,216,4750,MALE
264,Gentoo,Biscoe,50.5,15.9,222,5550,MALE
265,Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE
266,Gentoo,Biscoe,45.5,13.9,210,4200,FEMALE
267,Gentoo,Biscoe,50.5,15.9,225,5400,MALE
268,Gentoo,Biscoe,44.9,13.3,213,5100,FEMALE
269,Gentoo,Biscoe,45.2,15.8,215,5300,MALE
270,Gentoo,Biscoe,46.6,14.2,210,4850,FEMALE
271,Gentoo,Biscoe,48.5,14.1,220,5300,MALE
272,Gentoo,Biscoe,45.1,14.4,210,4400,FEMALE
273,Gentoo,Biscoe,50.1,15,225,5000,MALE
274,Gentoo,Biscoe,46.5,14.4,217,4900,FEMALE
275,Gentoo,Biscoe,45,15.4,220,5050,MALE
276,Gentoo,Biscoe,43.8,13.9,208,4300,FEMALE
277,Gentoo,Biscoe,45.5,15,220,5000,MALE
278,Gentoo,Biscoe,43.2,14.5,208,4450,FEMALE
279,Gentoo,Biscoe,50.4,15.3,224,5550,MALE
280,Gentoo,Biscoe,45.3,13.8,208,4200,FEMALE
281,Gentoo,Biscoe,46.2,14.9,221,5300,MALE
282,Gentoo,Biscoe,45.7,13.9,214,4400,FEMALE
283,Gentoo,Biscoe,54.3,15.7,231,5650,MALE
284,Gentoo,Biscoe,45.8,14.2,219,4700,FEMALE
285,Gentoo,Biscoe,49.8,16.8,230,5700,MALE
286,Gentoo,Biscoe,46.2,14.4,214,4650,
287,Gentoo,Biscoe,49.5,16.2,229,5800,MALE
288,Gentoo,Biscoe,43.5,14.2,220,4700,FEMALE
289,Gentoo,Biscoe,50.7,15,223,5550,MALE
290,Gentoo,Biscoe,47.7,15,216,4750,FEMALE
291,Gentoo,Biscoe,46.4,15.6,221,5000,MALE
292,Gentoo,Biscoe,48.2,15.6,221,5100,MALE
293,Gentoo,Biscoe,46.5,14.8,217,5200,FEMALE
294,Gentoo,Biscoe,46.4,15,216,4700,FEMALE
295,Gentoo,Biscoe,48.6,16,230,5800,MALE
296,Gentoo,Biscoe,47.5,14.2,209,4600,FEMALE
297,Gentoo,Biscoe,51.1,16.3,220,6000,MALE
298,Gentoo,Biscoe,45.2,13.8,215,4750,FEMALE
299,Gentoo,Biscoe,45.2,16.4,223,5950,MALE
300,Gentoo,Biscoe,49.1,14.5,212,4625,FEMALE
301,Gentoo,Biscoe,52.5,15.6,221,5450,MALE
302,Gentoo,Biscoe,47.4,14.6,212,4725,FEMALE
303,Gentoo,Biscoe,50,15.9,224,5350,MALE
304,Gentoo,Biscoe,44.9,13.8,212,4750,FEMALE
305,Gentoo,Biscoe,50.8,17.3,228,5600,MALE
306,Gentoo,Biscoe,43.4,14.4,218,4600,FEMALE
307,Gentoo,Biscoe,51.3,14.2,218,5300,MALE
308,Gentoo,Biscoe,47.5,14,212,4875,FEMALE
309,Gentoo,Biscoe,52.1,17,230,5550,MALE
310,Gentoo,Biscoe,47.5,15,218,4950,FEMALE
311,Gentoo,Biscoe,52.2,17.1,228,5400,MALE
312,Gentoo,Biscoe,45.5,14.5,212,4750,FEMALE
313,Gentoo,Biscoe,49.5,16.1,224,5650,MALE
314,Gentoo,Biscoe,44.5,14.7,214,4850,FEMALE
315,Gentoo,Biscoe,50.8,15.7,226,5200,MALE
316,Gentoo,Biscoe,49.4,15.8,216,4925,MALE
317,Gentoo,Biscoe,46.9,14.6,222,4875,FEMALE
318,Gentoo,Biscoe,48.4,14.4,203,4625,FEMALE
319,Gentoo,Biscoe,51.1,16.5,225,5250,MALE
320,Gentoo,Biscoe,48.5,15,219,4850,FEMALE
321,Gentoo,Biscoe,55.9,17,228,5600,MALE
322,Gentoo,Biscoe,47.2,15.5,215,4975,FEMALE
323,Gentoo,Biscoe,49.1,15,228,5500,MALE
324,Gentoo,Biscoe,47.3,13.8,216,4725,
325,Gentoo,Biscoe,46.8,16.1,215,5500,MALE
326,Gentoo,Biscoe,41.7,14.7,210,4700,FEMALE
327,Gentoo,Biscoe,53.4,15.8,219,5500,MALE
328,Gentoo,Biscoe,43.3,14,208,4575,FEMALE
329,Gentoo,Biscoe,48.1,15.1,209,5500,MALE
330,Gentoo,Biscoe,50.5,15.2,216,5000,FEMALE
331,Gentoo,Biscoe,49.8,15.9,229,5950,MALE
332,Gentoo,Biscoe,43.5,15.2,213,4650,FEMALE
333,Gentoo,Biscoe,51.5,16.3,230,5500,MALE
334,Gentoo,Biscoe,46.2,14.1,217,4375,FEMALE
335,Gentoo,Biscoe,55.1,16,230,5850,MALE
336,Gentoo,Biscoe,44.5,15.7,217,4875,
337,Gentoo,Biscoe,48.8,16.2,222,6000,MALE
338,Gentoo,Biscoe,47.2,13.7,214,4925,FEMALE
339,Gentoo,Biscoe,,,,,
340,Gentoo,Biscoe,46.8,14.3,215,4850,FEMALE
341,Gentoo,Biscoe,50.4,15.7,222,5750,MALE
342,Gentoo,Biscoe,45.2,14.8,212,5200,FEMALE
343,Gentoo,Biscoe,49.9,16.1,213,5400,MALE
